id_category;name;parent_id;created_at;updated_at
1;Rubber;40659;2022-03-03T22:01:50;2022-03-03T22:41:44
2;Handmade;91109;2022-03-04T09:31:48;2022-03-04T07:26:55
3;Nigeria Optimized;49021;2022-03-04T10:38:08;2022-03-04T14:33:22
4;Functionality iterate;22532;2022-03-04T03:21:09;2022-03-04T09:58:27
5;interfaces hack Plastic;58801;2022-03-03T22:18:19;2022-03-03T21:04:48
6;Berkshire Cheese connect;46472;2022-03-04T13:33:55;2022-03-04T00:46:02
7;array Frozen Granite;12493;2022-03-04T00:43:14;2022-03-04T00:50:23
8;FTP blue;21485;2022-03-04T13:21:17;2022-03-04T15:24:37
9;haptic;4085;2022-03-04T07:01:11;2022-03-04T13:30:29
10;Benin;83761;2022-03-04T16:06:33;2022-03-04T12:16:27
