id_comment;login;id_product;id_parent_comment;content;created_at;updated_at
1;Berkshire implementation;51007;28937;synergize;2022-03-05T05:06:43;2022-03-04T16:10:36
2;back-end programming Industrial;14470;61948;fuchsia;2022-03-04T19:46:42;2022-03-05T08:18:36
3;networks SQL;90371;80792;Infrastructure pink;2022-03-04T21:49:35;2022-03-04T14:11:40
4;Ergonomic Account;54310;58900;Clothing Sleek;2022-03-05T02:25:12;2022-03-05T08:47:52
5;Plastic olive web-enabled;23016;83054;open-source cross-platform grow;2022-03-04T18:46:44;2022-03-05T05:48:42
6;Gloves;47170;80949;silver District;2022-03-04T23:04:05;2022-03-05T02:13:39
7;Cook engage;78022;52316;violet;2022-03-04T14:44:01;2022-03-05T02:36:24
8;withdrawal back Auto;54833;87512;Namibia;2022-03-05T03:45:16;2022-03-05T02:58:01
9;coherent Sports;53723;74148;Grocery Borders frame;2022-03-04T19:49:28;2022-03-05T00:40:36
10;directional;77090;76658;Regional cultivate;2022-03-04T21:39:58;2022-03-05T01:00:47
