id_order_detail;id_order;id_product;quantity;price;created_at;updated_at
1;52870;31586;17805;62464;2022-03-05T05:24:04;2022-03-04T19:53:15
2;14994;66221;96554;29068;2022-03-04T22:25:10;2022-03-04T14:16:03
3;27302;5747;52580;89570;2022-03-05T06:38:49;2022-03-04T17:49:14
4;28181;3101;98449;20203;2022-03-05T05:05:05;2022-03-05T04:19:47
5;58083;43063;10420;58430;2022-03-04T18:03:13;2022-03-05T08:15:30
6;13455;57173;14008;32502;2022-03-04T23:53:47;2022-03-04T13:15:01
7;85268;57876;60563;14121;2022-03-05T05:47:24;2022-03-04T20:15:54
8;37752;59024;84348;7163;2022-03-04T15:07:24;2022-03-04T16:24:47
9;37349;66180;29392;54478;2022-03-04T21:14:21;2022-03-04T23:00:29
10;85443;39823;15140;67341;2022-03-04T12:25:10;2022-03-05T09:44:16
