id_product_detail;id_product;rom;color;import_quantity;quantity;import_price;sale_price;created_at;updated_at
1;10522;benchmark payment;red;44418;39189;79128;68605;2022-03-05T10:38:26;2022-03-04T11:56:58
2;30066;navigate Rubber Decentralized;ivory;26031;41055;60374;19583;2022-03-05T06:14:20;2022-03-05T00:19:14
3;12600;Representative reboot;purple;83456;13066;78912;97630;2022-03-05T08:53:58;2022-03-04T19:17:20
4;79871;auxiliary help-desk;plum;40974;13272;11535;62574;2022-03-04T20:17:19;2022-03-04T21:58:24
5;98840;firewall;fuchsia;14678;10150;2351;24419;2022-03-05T06:00:25;2022-03-04T23:36:52
6;7698;up Glens;orchid;31435;24642;65537;66424;2022-03-05T01:48:42;2022-03-04T17:57:15
7;69915;Research Rufiyaa;indigo;37050;6946;7378;5205;2022-03-04T12:17:56;2022-03-05T04:00:33
8;99326;framework synthesize;plum;49991;66737;3804;52788;2022-03-04T18:14:43;2022-03-04T17:28:17
9;65629;hack Dynamic;gold;55440;95569;72942;81912;2022-03-05T03:38:34;2022-03-05T10:59:11
10;89918;Cambridgeshire;red;28333;51398;39188;19944;2022-03-04T18:12:12;2022-03-05T08:51:02
