id_producer;name;created_at;updated_at
1;system strategic;2022-03-04T16:50:19;2022-03-05T00:24:50
2;invoice Account;2022-03-05T03:57:15;2022-03-05T03:19:33
3;cohesive withdrawal;2022-03-04T13:28:40;2022-03-05T02:54:26
4;circuit knowledge Investment;2022-03-04T14:15:21;2022-03-05T05:40:12
5;SMS Internal;2022-03-04T14:33:03;2022-03-04T21:14:19
6;program Thailand;2022-03-04T13:45:47;2022-03-05T03:58:39
7;Shoes Aruban interactive;2022-03-05T03:59:44;2022-03-04T17:37:44
8;quantify;2022-03-05T01:57:56;2022-03-05T06:58:13
9;Salad Bike Director;2022-03-04T16:03:04;2022-03-05T10:14:44
10;productize;2022-03-05T00:18:54;2022-03-05T06:04:33
